"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","153","658","540","164","34","3","38","110","112","112","115","14","4",".303",".424",".590","1.014",".426","3.5","","3.76","0.32","0.67","20123"
"Mike Trout","LAA","148","650","522","148","27","3","43","111","109","110","141","8","3",".284",".415",".598","1.014",".420","5.9","","2.56","-0.73","1.09","10155"
"Freddie Freeman","ATL","154","675","575","172","38","2","32","106","108","88","118","5","2",".300",".398",".542",".940",".396","12.9","","2.12","0.00","1.20","5361"
"Ronald Acuna Jr.","ATL","149","658","563","156","29","3","39","117","93","84","176","29","8",".276",".378",".544",".922",".390","1.6","","3.99","0.16","0.95","18401"
"Christian Yelich","MIL","148","649","547","150","29","3","35","103","91","93","159","16","5",".275",".386",".530",".916",".387","10.7","","3.30","-1.25","0.41","11477"
"Bryce Harper","PHI","151","655","534","140","29","2","36","101","100","109","150","17","4",".263",".390",".527",".917",".386","18.1","","2.06","0.47","0.74","11579"
"Mookie Betts","LAD","148","668","578","168","35","4","33","121","92","79","100","23","5",".290",".377",".535",".913",".382","4.1","","3.21","-0.04","0.74","13611"
"Yordan Alvarez","HOU","124","528","460","127","26","1","32","76","91","59","127","1","1",".277",".364",".543",".907",".381","77.8","","3.96","-0.23","0.94","19556"
"Fernando Tatis Jr.","SDP","147","649","574","162","29","6","37","109","100","62","167","27","8",".281",".359",".546",".905",".381","2.3","","3.54","-0.84","0.58","19709"
"Cody Bellinger","LAD","143","614","530","146","30","4","35","95","97","78","114","12","4",".275",".370",".543",".913",".381","16.9","","6.31","-0.72","0.45","15998"
"Anthony Rendon","LAA","143","621","528","153","34","2","27","90","97","77","88","2","1",".290",".387",".514",".901",".381","39.4","","2.15","0.33","1.04","12861"
"Alex Bregman","HOU","145","630","528","143","35","2","26","90","90","88","83","3","2",".271",".381",".494",".875",".374","46.1","","3.40","-0.32","0.74","17678"
"Jose Ramirez","CLE","149","638","555","152","37","3","33","97","99","73","93","25","7",".274",".361",".529",".890",".373","10.9","","3.72","-0.09","0.67","13510"
"George Springer","TOR","141","617","537","146","23","3","34","100","91","68","120","4","3",".272",".360",".514",".874",".371","47.9","","2.89","0.29","0.89","12856"
"Aaron Judge","NYY","132","571","486","125","21","1","35","94","86","77","171","3","2",".257",".364",".522",".885",".371","53.2","","2.30","-0.01","1.02","15640"
"Marcell Ozuna","ATL","145","632","559","158","27","2","33","88","105","67","134","4","2",".284",".362",".517",".878",".371","44.5","","1.81","0.53","1.01","10324"
"Corey Seager","LAD","139","607","546","159","36","2","29","94","97","52","105","3","1",".290",".355",".525",".880",".369","33.3","","3.15","-0.29","1.02","13624"
"Nelson Cruz","MIN","125","530","465","126","21","1","32","72","86","53","137","0","0",".270",".354",".524",".878",".367","91.5","","4.45","-0.44","0.93","2434"
"Jesse Winker","CIN","133","520","445","120","23","1","23","69","65","64","104","2","1",".269",".370",".481",".851",".366","211.3","","3.51","-1.00","0.48","13590"
"Trevor Story","COL","150","656","589","164","36","6","32","99","87","59","168","28","7",".278",".348",".520",".868",".365","12.2","","3.10","-1.85","0.82","12564"
"Vladimir Guerrero Jr.","TOR","147","619","556","161","32","3","26","85","93","54","96","2","1",".290",".357",".500",".857",".365","50.4","","4.04","-0.12","1.01","19611"
"Eloy Jimenez","CHW","144","604","559","160","31","2","35","80","102","38","142","1","0",".286",".334",".534",".868",".365","31.3","","3.88","-0.03","1.22","17484"
"Xander Bogaerts","BOS","148","630","560","161","35","2","28","94","91","61","113","12","2",".288",".359",".506",".865",".364","34.1","","2.93","0.08","0.44","12161"
"Rhys Hoskins","PHI","133","583","484","115","25","2","30","84","84","86","139","3","1",".239",".363",".484",".847",".363","161.9","","3.62","0.34","1.05","16472"
"Pete Alonso","NYM","145","622","540","133","25","1","40","87","102","64","164","2","1",".246",".341",".518",".859",".363","55.5","","2.19","-1.52","1.52","19251"
"Justin Turner","LAD","114","490","425","121","24","1","17","69","65","50","76","2","1",".286",".374",".471",".845",".361","201.3","","3.98","-0.40","0.81","5235"
"Luke Voit","NYY","141","597","525","137","22","1","34","86","93","61","149","0","0",".261",".346",".498",".844",".360","61.8","","2.84","-0.36","1.08","14811"
"Josh Donaldson","MIN","130","540","450","109","22","1","27","75","71","80","129","2","1",".243",".363",".475",".838",".360","192.7","","3.54","-0.53","0.70","5038"
"Paul Goldschmidt","STL","151","639","548","147","27","2","28","86","81","84","144","3","1",".269",".369",".476",".845",".360","92.2","","2.01","-0.47","0.62","9218"
"Michael Conforto","NYM","146","629","540","142","27","1","29","89","87","75","151","7","3",".264",".363",".479",".842",".359","73.7","","2.15","0.13","0.54","16376"
"Trea Turner","WSN","147","657","595","173","34","7","23","103","79","53","114","33","8",".291",".353",".487",".840",".359","7.2","","1.78","1.53","1.47","16252"
"Manny Machado","SDP","152","659","586","161","29","2","34","92","103","63","110","11","4",".276",".346",".506",".853",".359","21.2","","2.22","0.16","0.58","11493"
"Giancarlo Stanton","NYY","122","521","447","113","21","1","31","74","83","63","155","3","1",".253",".350",".509",".859",".358","114.3","","5.94","-0.42","0.77","4949"
"C.J. Cron","COL","125","514","461","121","25","1","29","67","81","40","129","1","1",".262",".333",".511",".844",".357","202.8","","7.05","-1.67","0.81","12546"
"Max Muncy","LAD","136","575","478","112","20","1","30","87","83","87","145","3","1",".235",".359",".469",".827",".357","99.6","","3.91","0.58","1.11","13301"
"Eugenio Suarez","CIN","151","639","553","136","24","2","38","87","101","73","175","3","1",".246",".340",".502",".842",".356","67.7","","3.94","0.58","1.39","12552"
"Anthony Rizzo","CHC","149","639","543","143","27","2","27","85","85","72","95","6","3",".264",".366",".468",".834",".355","106.2","","4.28","-0.27","0.47","3473"
"Alex Dickerson","SFG","122","462","414","114","25","3","19","65","64","39","89","1","1",".274",".345",".491",".836",".355","359.0","","4.59","-0.17","0.60","12649"
"Charlie Blackmon","COL","135","590","532","153","29","5","22","82","74","45","107","4","3",".289",".350",".485",".834",".355","87.6","","1.87","-0.56","0.86","7859"
"Rafael Devers","BOS","148","642","590","165","39","3","31","95","100","44","140","4","3",".279",".333",".510",".843",".354","41.3","","3.00","0.66","0.90","17350"
"DJ LeMahieu","NYY","144","633","575","175","28","3","20","98","76","48","81","6","2",".304",".359",".465",".825",".354","27.8","","3.21","0.02","1.35","9874"
"Brandon Nimmo","NYM","127","530","438","109","22","4","17","76","52","77","125","5","3",".249",".374",".432",".807",".354","264.9","","3.76","0.05","0.47","12927"
"Gleyber Torres","NYY","145","600","529","141","26","1","29","80","83","60","121","6","2",".266",".344",".486",".830",".354","64.6","","4.46","0.27","0.48","16997"
"Jeff McNeil","NYM","148","631","564","166","35","3","18","81","74","46","80","4","3",".294",".360",".460",".820",".354","93.8","","2.69","0.00","1.10","15362"
"Kyle Schwarber","WSN","131","537","461","110","21","2","31","73","77","68","148","3","2",".238",".340",".495",".835",".354","199.6","","1.90","1.07","0.97","16478"
"J.D. Martinez","BOS","143","619","547","148","32","2","29","81","90","62","145","2","1",".270",".347",".496",".843",".353","92.7","","5.21","-0.27","0.79","6184"
"Will Smith","LAD","105","416","358","89","18","1","22","58","67","46","92","1","1",".248",".342",".488",".830",".353","100.4","","5.69","0.27","0.46","19197"
"Matt Olson","OAK","147","616","534","127","24","1","37","79","96","72","171","1","1",".238",".336",".497",".833",".353","91.3","","2.77","0.26","1.50","14344"
"Brandon Belt","SFG","133","540","459","118","27","2","20","68","67","74","117","2","1",".256",".362",".454",".816",".352","473.5","","2.82","-1.39","0.26","10264"
"Jorge Soler","KCR","140","582","506","124","25","1","32","73","87","65","170","2","1",".246",".339",".487",".826",".351","143.9","","3.10","-0.01","1.03","14221"
"Joey Gallo","TEX","146","598","504","108","23","2","39","84","90","84","215","5","2",".214",".333",".495",".829",".351","151.5","","2.74","-0.98","1.86","14128"
"Jose Abreu","CHW","149","647","590","165","33","2","32","87","110","40","141","1","1",".280",".335",".503",".838",".351","41.3","","2.68","0.68","1.24","15676"
"Randy Arozarena","TBR","146","572","507","136","26","3","24","82","75","46","139","20","7",".268",".345",".474",".819",".351","58.9","","3.67","-0.60","0.69","19290"
"Josh Bell","WSN","140","591","513","134","26","2","28","79","89","67","130","1","1",".260",".346",".484",".830",".350","146.4","","2.78","-0.70","0.86","13145"
"Franmil Reyes","CLE","147","597","532","138","24","1","34","77","90","56","168","0","0",".260",".330",".499",".829",".350","157.6","","3.11","0.03","1.05","14566"
"Kris Bryant","CHC","142","621","536","139","29","3","25","91","74","66","148","2","2",".260",".356",".464",".820",".350","123.2","","3.02","0.31","0.73","15429"
"Nicholas Castellanos","CIN","150","646","587","157","39","4","30","93","89","48","160","2","2",".267",".327",".499",".826",".349","82.7","","2.59","-0.26","0.89","11737"
"Bo Bichette","TOR","143","622","575","164","38","4","23","91","83","40","126","21","8",".286",".335",".487",".822",".349","24.5","","1.61","-0.48","0.72","19612"
"Ketel Marte","ARI","147","631","574","165","33","7","21","83","75","46","82","7","2",".288",".344",".475",".819",".348","83.0","","4.09","0.67","0.80","13613"
"Brandon Lowe","TBR","138","573","507","129","26","3","28","79","84","55","162","6","2",".254",".333",".482",".815",".347","71.5","","4.22","-0.02","0.56","18882"
"Mark Canha","OAK","143","582","490","121","25","3","21","78","72","70","131","6","1",".247",".356",".441",".797",".346","265.3","","2.28","-1.02","0.44","11445"
"Yandy Diaz","TBR","106","446","385","105","18","1","12","56","44","56","74","1","1",".274",".368",".422",".790",".346","534.9","","4.24","-0.52","0.82","16578"
"Matt Chapman","OAK","138","588","522","128","30","3","31","84","84","55","156","1","1",".245",".324",".494",".818",".346","116.3","","1.97","0.58","1.06","16505"
"Dominic Smith","NYM","130","511","463","124","29","2","22","66","77","39","121","1","1",".268",".331",".482",".813",".346","126.9","","2.62","0.27","0.62","15653"
"Tommy Pham","SDP","126","541","469","124","22","2","18","71","62","64","116","20","4",".265",".359",".435",".794",".346","139.5","","2.41","-0.86","0.98","2967"
"Shohei Ohtani","LAA","112","438","390","102","21","2","19","59","61","43","117","13","4",".261",".338",".471",".808",".346","175.9","","5.77","-0.54","0.64","19755"
"Mike Yastrzemski","SFG","144","607","535","137","30","5","25","86","76","62","154","6","3",".256",".339",".469",".807",".346","139.8","","4.21","0.16","0.51","14854"
"Nate Lowe","TEX","110","444","388","100","19","1","19","57","59","51","122","3","1",".258",".346",".456",".802",".345","423.7","","4.76","-0.07","0.36","19566"
"Michael Brantley","HOU","129","552","498","145","31","2","15","70","71","46","69","5","1",".291",".354",".451",".805",".345","150.2","","3.74","-1.37","0.97","4106"
"Ozzie Albies","ATL","149","644","592","165","35","5","24","93","83","43","117","15","4",".279",".332",".478",".810",".345","34.5","","2.65","-0.71","0.41","16556"
"Rowdy Tellez","TOR","115","453","405","105","21","0","24","60","68","38","100","1","1",".258",".326",".488",".815",".345","305.4","","1.32","4.38","0.53","15679"
"Cavan Biggio","TOR","144","631","527","127","28","2","21","92","71","96","160","17","4",".240",".361",".423",".784",".345","68.2","","3.97","0.22","1.08","19252"
"Alex Verdugo","BOS","145","596","539","155","36","2","16","83","62","47","99","9","2",".288",".348",".453",".801",".344","129.2","","3.07","1.07","0.95","17027"
"Ke'Bryan Hayes","PIT","144","573","514","142","31","4","17","74","67","50","115","8","3",".276",".345",".454",".799",".344","139.3","","3.66","-0.45","0.51","18577"
"Austin Meadows","TBR","136","578","515","133","28","4","25","78","76","53","144","11","4",".259",".332",".476",".808",".343","86.7","","5.24","0.06","0.26","15672"
"Trent Grisham","SDP","146","627","536","134","25","5","23","90","72","78","146","18","4",".249",".349",".445",".794",".343","70.5","","3.29","0.43","0.93","18564"
"Kyle Tucker","HOU","149","614","555","145","30","6","27","89","92","51","134","20","6",".261",".327",".481",".808",".343","32.0","","2.46","0.31","0.73","18345"
"Alec Bohm","PHI","140","593","532","149","28","2","20","77","78","51","110","4","2",".281",".346",".452",".798",".343","999.0","","3.13","-0.79","0.70","21618"
"Ian Happ","CHC","141","573","496","122","24","2","26","77","72","70","166","6","3",".245",".342",".464",".806",".343","162.8","","2.03","1.11","0.58","17919"
"Clint Frazier","NYY","123","506","444","112","24","2","22","67","68","51","138","6","2",".251",".335",".464",".799",".342","176.3","","4.74","-0.49","0.21","15983"
"Yasmani Grandal","CHW","127","516","431","100","19","1","23","67","68","77","133","2","1",".232",".350",".438",".788",".342","131.6","","2.49","-0.21","0.65","11368"
"Nolan Arenado","STL","149","642","570","153","29","2","29","83","94","59","92","1","1",".268",".337",".480",".817",".342","41.3","","2.71","-0.28","0.91","9777"
"Joey Votto","CIN","134","578","488","124","25","1","19","77","61","83","112","2","1",".254",".365",".428",".793",".342","375.5","","5.79","-0.07","0.44","4314"
