"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","150","671","529","147","26","3","41","115","105","122","147","12","10","3","",".277",".420",".569",".989",".406","","157","1.2","-4.1","","50.2","-1.8","7.0","","6.1","10155"
"Fernando Tatis Jr.","Padres","150","677","592","168","28","5","39","112","101","65","161","9","26","10","",".284",".362",".546",".908",".376","","135","1.2","-1.4","","32.4","6.1","5.9","","2.5","19709"
"Alex Bregman","Astros","150","660","546","151","35","2","31","100","99","98","88","9","5","2","",".276",".391",".519",".910",".382","","144","-0.6","-2.8","","36.8","-0.2","5.8","","42.2","17678"
"Mookie Betts","Dodgers","150","685","584","161","33","3","33","115","92","85","108","7","20","5","",".276",".372",".514",".886",".370","","132","3.7","11.9","","33.0","4.4","5.8","","3.7","13611"
"Juan Soto","Nationals","150","651","526","158","32","2","39","109","114","114","114","5","12","5","",".301",".426",".591","1.017",".415","","156","-0.7","-2.5","","47.6","-10.0","5.7","","3.9","20123"
"Cody Bellinger","Dodgers","150","642","546","153","30","2","40","103","115","87","115","4","12","5","",".281",".381",".564",".945",".386","","143","0.0","0.3","","36.6","0.3","5.6","","15.9","15998"
"Corey Seager","Dodgers","149","641","568","168","38","2","30","97","99","60","109","6","3","1","",".295",".365",".530",".895",".372","","134","0.7","-3.1","","29.5","4.4","5.3","","37.1","13624"
"Ronald Acuna Jr.","Braves","150","683","578","162","28","2","41","119","101","86","172","10","28","10","",".281",".380",".551",".931",".386","","137","2.5","3.3","","36.0","-3.7","5.3","","1.7","18401"
"Anthony Rendon","Angels","150","656","557","152","35","2","27","91","95","83","98","10","3","1","",".273",".375",".488",".863",".363","","128","0.6","3.5","","23.9","6.0","5.2","","41.8","12861"
"Jose Ramirez","Indians","150","653","561","153","37","3","32","99","97","78","96","7","23","8","",".272",".364",".520",".884",".368","","128","2.4","1.4","","25.7","3.9","5.1","","11.3","13510"
"Matt Chapman","Athletics","150","663","578","143","33","3","35","92","97","68","167","9","2","1","",".247",".334",".497",".831",".347","","121","0.8","5.8","","18.3","8.1","4.8","","113.2","16505"
"Manny Machado","Padres","150","661","582","159","29","2","36","97","108","68","115","5","9","4","",".273",".351",".517",".868",".358","","123","-0.2","3.3","","20.3","5.8","4.6","","20.8","11493"
"Francisco Lindor","Mets","150","682","604","157","32","1","32","99","89","62","106","7","19","6","",".260",".333",".478",".810",".337","","112","0.4","6.2","","11.0","13.7","4.5","","18.0","12916"
"George Springer","Blue Jays","146","668","572","155","26","3","34","106","87","78","133","8","7","3","",".271",".364",".505",".868",".364","","129","0.7","-3.9","","25.3","-2.5","4.5","","49.7","12856"
"Yasmani Grandal","White Sox","130","565","471","110","21","1","25","76","73","83","141","5","3","1","",".235",".352",".446",".798",".340","","113","-3.0","0.4","","6.7","6.7","4.5","","124.5","11368"
"Freddie Freeman","Braves","150","662","558","163","37","2","32","103","104","90","123","7","5","2","",".292",".394",".538",".932",".385","","137","-0.4","3.9","","31.6","-8.6","4.3","","12.6","5361"
"Aaron Judge","Yankees","134","601","495","124","20","1","35","96","87","92","183","6","6","2","",".250",".372",".510",".881",".369","","132","0.2","5.6","","24.5","-1.7","4.3","","55.9","15640"
"Rafael Devers","Red Sox","150","658","595","170","40","2","34","99","103","50","132","5","7","3","",".286",".345",".535",".880",".363","","123","1.0","-2.1","","20.5","0.0","4.2","","42.6","17350"
"Xander Bogaerts","Red Sox","150","649","569","160","36","1","26","90","94","69","117","5","8","3","",".281",".361",".486",".847",".356","","118","1.0","-3.9","","16.1","3.6","4.1","","35.1","12161"
"Christian Yelich","Brewers","150","670","560","154","29","3","34","104","96","93","159","8","18","6","",".275",".383",".520",".903",".375","","131","2.2","-1.5","","29.9","-9.0","4.1","","11.6","11477"
"Bo Bichette","Blue Jays","149","673","613","172","39","3","25","99","84","46","132","5","24","9","",".281",".333",".478",".811",".339","","112","0.0","0.1","","10.1","7.5","4.0","","24.8","19612"
"Carlos Correa","Astros","150","622","545","142","28","1","27","80","87","65","140","6","2","1","",".261",".343",".467",".809",".341","","116","0.6","-2.4","","13.6","5.1","3.9","","124.7","14162"
"Trea Turner","Nationals","150","688","611","173","35","5","23","106","80","61","124","6","34","8","",".283",".351",".471",".822",".346","","111","4.2","-4.2","","14.3","3.3","3.9","","7.3","16252"
"DJ LeMahieu","Yankees","150","683","615","179","29","3","21","97","76","53","94","5","7","3","",".291",".349",".451",".800",".340","","112","0.2","1.3","","10.5","3.4","3.7","","26.8","9874"
"Nolan Arenado","Cardinals","150","652","578","151","28","1","31","85","97","64","103","5","3","1","",".261",".337",".476",".813",".337","","110","0.4","5.4","","9.1","7.9","3.7","","34.8","9777"
"Gleyber Torres","Yankees","149","625","548","148","26","1","32","87","95","64","120","6","6","3","",".270",".350",".495",".845",".354","","121","-0.7","-8.0","","16.3","-0.5","3.7","","70.3","16997"
"Trent Grisham","Padres","144","632","539","137","25","5","24","92","75","78","136","6","15","5","",".254",".352",".450",".802",".341","","112","-0.4","5.2","","9.6","7.6","3.7","","69.3","18564"
"Trevor Story","Rockies","150","672","597","164","35","5","35","104","98","61","171","7","24","9","",".274",".345",".525",".870",".361","","108","1.4","-0.9","","8.9","6.6","3.6","","12.3","12564"
"J.T. Realmuto","Phillies","128","545","490","128","25","2","23","70","77","41","121","8","6","3","",".261",".326",".459",".785",".330","","102","1.2","4.2","","2.7","11.7","3.6","","34.1","11739"
"Ozzie Albies","Braves","150","641","578","161","35","4","25","91","87","48","104","6","14","5","",".279",".338",".481",".819",".342","","109","1.5","4.1","","8.8","6.6","3.5","","33.3","16556"
"Josh Donaldson","Twins","136","591","491","120","24","1","30","86","85","87","148","7","3","1","",".244",".364",".478",".842",".355","","122","-1.3","0.0","","15.0","0.1","3.5","","190.1","5038"
"Yordan Alvarez","Astros","131","552","475","132","25","1","37","85","98","67","135","4","3","1","",".278",".370",".566",".935",".383","","145","-0.7","0.0","","30.9","-15.3","3.4","","79.8","19556"
"Bryce Harper","Phillies","150","663","535","132","26","2","36","100","98","114","161","7","13","5","",".247",".383",".503",".886",".368","","127","-1.2","-1.4","","22.2","-9.0","3.4","","19.5","11579"
