"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","Mets","15","8","3.00","32","32","0","201.0","153","67","24","266","52","1.03","11.95","2.35","2.97","5.8","5.7","5.7","10954"
"Shane Bieber","Indians","14","9","3.26","31","31","0","195.0","164","70","24","245","47","1.08","11.32","2.19","3.15","5.3","5.6","9.3","19427"
"Gerrit Cole","Yankees","15","9","3.53","32","32","0","201.0","163","79","30","263","58","1.10","11.78","2.57","3.46","5.3","5.1","6.4","13125"
"Max Scherzer","Nationals","12","9","3.77","29","29","0","179.0","151","75","28","224","50","1.12","11.29","2.52","3.74","4.1","4.0","28.3","3137"
"Yu Darvish","Padres","13","9","3.70","31","31","0","189.0","160","78","25","229","58","1.15","10.89","2.75","3.59","4.0","3.8","17.6","13074"
"Luis Castillo","Reds","12","10","3.83","31","31","0","187.0","166","79","24","216","69","1.26","10.38","3.31","3.82","3.8","4.0","27.4","15689"
"Tyler Glasnow","Rays","11","9","3.61","28","28","0","163.0","131","65","21","209","64","1.20","11.52","3.54","3.57","3.6","3.6","49.9","14374"
"Brandon Woodruff","Brewers","11","10","3.85","29","29","0","175.0","156","75","24","194","57","1.21","9.99","2.93","3.92","3.5","3.4","33.8","16162"
"Trevor Bauer","Dodgers","14","9","4.01","31","31","0","195.0","175","87","29","218","65","1.23","10.05","2.98","4.08","3.5","3.0","15.5","12703"
"Aaron Nola","Phillies","12","10","4.01","31","31","0","190.0","175","85","27","209","67","1.27","9.88","3.18","4.02","3.4","3.3","22.8","16149"
"Walker Buehler","Dodgers","13","8","3.85","29","29","0","172.0","154","74","25","193","50","1.19","10.11","2.63","3.86","3.3","3.1","18.9","19374"
"Carlos Carrasco","Mets","12","9","3.67","29","29","0","174.0","154","71","24","198","52","1.18","10.22","2.69","3.76","3.3","3.3","65.4","6632"
"German Marquez","Rockies","11","11","4.41","31","31","0","192.0","194","94","30","187","57","1.31","8.74","2.68","4.28","3.2","3.9","166.4","15038"
"Clayton Kershaw","Dodgers","13","8","3.78","29","29","0","175.0","166","74","26","179","44","1.20","9.19","2.27","3.91","3.0","3.2","34.2","2036"
"Framber Valdez","Astros","11","7","3.56","26","26","0","152.0","139","60","14","156","61","1.31","9.22","3.63","3.73","3.0","3.3","102.0","17295"
"Lance Lynn","White Sox","12","11","4.27","31","31","0","191.0","181","91","31","201","63","1.28","9.43","2.96","4.36","3.0","2.8","51.1","2520"
"Lance McCullers Jr.","Astros","11","8","3.80","28","28","0","161.0","151","68","18","164","58","1.30","9.17","3.25","3.86","3.0","3.0","121.3","14120"
"Jesus Luzardo","Athletics","10","9","3.85","26","26","0","151.0","139","65","20","156","51","1.26","9.30","3.05","3.97","3.0","2.8","105.6","19959"
"Blake Snell","Padres","11","8","3.61","28","28","0","151.0","127","60","19","181","58","1.23","10.82","3.45","3.70","3.0","3.1","43.1","13543"
"Charlie Morton","Braves","12","8","3.93","29","29","0","168.0","156","73","21","176","56","1.26","9.40","2.99","3.97","3.0","3.1","124.2","4676"
"Lucas Giolito","White Sox","11","10","4.09","29","29","0","172.0","150","78","27","202","65","1.25","10.55","3.38","4.19","2.9","2.9","18.1","15474"
"Hyun-Jin Ryu","Blue Jays","12","9","4.15","29","29","0","179.0","182","83","26","159","47","1.28","8.01","2.38","4.22","2.9","3.1","71.9","14444"
"Stephen Strasburg","Nationals","10","9","4.33","28","28","0","163.0","159","78","26","162","49","1.28","8.94","2.73","4.33","2.9","2.5","71.8","10131"
"Jose Berrios","Twins","11","9","4.23","29","29","0","178.0","167","84","27","182","58","1.27","9.23","2.96","4.27","2.8","3.0","85.5","14168"
"Kenta Maeda","Twins","11","9","4.30","29","29","0","172.0","161","82","28","179","57","1.27","9.36","3.01","4.34","2.8","2.8","48.0","18498"
"Sonny Gray","Reds","10","10","4.27","29","29","0","168.0","159","80","23","180","70","1.36","9.64","3.74","4.24","2.8","2.7","66.0","12768"
"Patrick Corbin","Nationals","12","10","4.34","31","31","0","190.0","191","92","30","181","62","1.33","8.57","2.92","4.42","2.7","2.8","138.1","9323"
"Corey Kluber","Yankees","10","8","4.17","26","26","0","156.0","151","72","25","160","42","1.24","9.25","2.46","4.18","2.7","2.8","195.0","2429"
"Kevin Gausman","Giants","11","10","3.99","29","29","0","170.0","159","75","23","177","52","1.24","9.38","2.77","3.95","2.7","2.8","136.1","14107"
"Jack Flaherty","Cardinals","11","10","4.00","31","31","0","182.0","161","81","27","205","65","1.24","10.15","3.22","4.12","2.7","3.0","30.3","17479"
"Dinelson Lamet","Padres","10","7","3.75","24","24","0","137.0","113","57","19","175","50","1.19","11.48","3.30","3.71","2.7","2.7","88.5","17186"
"Zack Wheeler","Phillies","11","10","4.33","29","29","0","181.0","180","87","28","169","53","1.28","8.40","2.62","4.38","2.6","2.5","93.7","10310"
"Max Fried","Braves","12","9","3.98","29","29","0","171.0","167","75","21","160","64","1.35","8.45","3.38","4.18","2.5","3.1","67.1","13743"
"Joe Musgrove","Padres","11","9","4.24","29","29","0","169.0","167","80","26","160","49","1.28","8.50","2.63","4.31","2.5","2.2","126.8","12970"
"Andrew Heaney","Angels","11","10","4.37","29","29","0","172.0","164","83","30","177","52","1.26","9.27","2.73","4.48","2.5","2.5","211.9","15423"
"Zack Greinke","Astros","12","11","4.35","31","31","0","191.0","199","92","32","166","42","1.26","7.82","1.96","4.39","2.5","2.5","108.7","1943"
"Kyle Hendricks","Cubs","11","10","4.41","29","29","0","183.0","193","90","29","147","41","1.28","7.23","2.02","4.46","2.4","2.4","84.3","12049"
"Nathan Eovaldi","Red Sox","10","8","4.09","26","26","0","149.0","142","68","22","153","44","1.25","9.26","2.68","4.10","2.4","2.9","241.1","9132"
"Zac Gallen","Diamondbacks","10","10","4.27","28","28","0","165.0","152","78","24","177","63","1.30","9.69","3.42","4.22","2.4","2.5","39.6","19291"
"Marco Gonzales","Mariners","9","12","4.50","29","29","0","180.0","189","90","31","141","46","1.31","7.03","2.32","4.75","2.3","2.1","170.9","15467"
"Marcus Stroman","Mets","11","10","4.14","29","29","0","170.0","174","78","21","137","58","1.37","7.27","3.10","4.31","2.3","2.1","203.9","13431"
"Kyle Gibson","Rangers","9","12","4.59","29","29","0","174.0","183","89","25","148","67","1.43","7.64","3.43","4.65","2.3","2.9","532.1","10123"
"Matthew Boyd","Tigers","9","11","4.64","29","29","0","172.0","168","89","32","177","55","1.30","9.25","2.89","4.64","2.3","2.4","307.9","15440"
