"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","Angels","157","681","543","159","29","3","47","119","116","120","145","11","4",".293",".429",".616","1.045",".431","6.1","10155"
"Juan Soto","Nationals","154","701","574","173","35","3","38","114","111","119","123","11","5",".301",".421",".574",".995",".415","3.9","20123"
"Freddie Freeman","Braves","157","716","609","183","39","3","34","111","107","94","126","7","3",".301",".399",".542",".941",".396","12.6","5361"
"Christian Yelich","Brewers","156","704","598","171","32","3","37","110","105","95","162","18","6",".287",".388",".535",".923",".390","11.6","11477"
"Bryce Harper","Phillies","157","714","584","157","33","2","39","110","109","118","160","14","5",".269",".395",".531",".926",".389","19.5","11579"
"Mookie Betts","Dodgers","157","723","625","184","39","4","35","118","106","85","103","20","5",".294",".380",".538",".919",".387","3.7","13611"
"Alex Bregman","Astros","154","667","561","157","35","3","33","101","99","92","89","5","1",".280",".386",".527",".913",".387","42.2","17678"
"Cody Bellinger","Dodgers","151","693","596","167","36","4","40","112","111","88","131","15","4",".280",".373",".553",".927",".386","15.9","15998"
"Ronald Acuna Jr.","Braves","156","709","610","171","32","3","39","120","104","86","183","31","8",".281",".376",".540",".916",".386","1.7","18401"
"Anthony Rendon","Angels","154","667","567","161","35","2","30","95","94","84","95","2","1",".285",".382",".513",".895",".379","41.8","12861"
"Aaron Judge","Yankees","134","584","491","126","22","1","35","91","87","83","177","4","2",".257",".370",".521",".891",".378","55.9","15640"
"Yordan Alvarez","Astros","131","569","491","136","29","2","32","83","93","69","141","3","1",".278",".368",".536",".904",".378","79.8","19556"
"Fernando Tatis Jr.","Padres","154","699","619","172","34","6","38","112","105","67","188","26","7",".278",".355",".536",".890",".375","2.5","19709"
"Jose Ramirez","Indians","154","656","574","158","36","4","35","100","96","71","92","24","6",".274",".357",".532",".889",".374","11.3","13510"
"George Springer","Blue Jays","146","631","543","148","24","2","33","96","89","74","123","5","2",".272",".366",".509",".875",".374","49.7","12856"
"Trevor Story","Rockies","152","680","610","171","40","5","35","106","98","59","175","26","6",".281",".348",".536",".883",".371","12.3","12564"
"Eugenio Suarez","Reds","156","702","608","157","26","2","46","105","114","78","185","3","1",".259",".350",".532",".882",".370","76.9","12552"
"Marcell Ozuna","Braves","151","687","608","171","29","2","37","101","105","70","143","4","1",".281",".357",".518",".875",".369","47.5","10324"
"Xander Bogaerts","Red Sox","151","646","573","166","33","2","28","92","86","62","116","7","2",".291",".362",".502",".864",".366","35.1","12161"
"J.D. Martinez","Red Sox","149","639","561","157","32","2","31","89","91","67","150","2","1",".279",".357",".509",".867",".364","93.0","6184"
"Anthony Rizzo","Cubs","157","713","603","162","31","3","29","97","93","82","105","7","3",".268",".374",".474",".848",".364","104.7","3473"
"Giancarlo Stanton","Yankees","134","584","506","128","21","1","37","86","89","67","168","3","1",".253",".346",".516",".863",".363","118.5","4949"
"Vladimir Guerrero Jr.","Blue Jays","144","624","551","159","32","2","25","86","85","61","91","3","1",".289",".364",".489",".853",".362","56.5","19611"
"Justin Turner","","130","596","519","147","31","2","22","84","81","56","96","2","1",".284",".366",".480",".846",".362","214.6","5235"
"Charlie Blackmon","Rockies","136","608","547","159","30","6","24","83","83","48","110","6","2",".291",".354",".499",".854",".361","84.1","7859"
"Jesse Winker","Reds","118","534","460","124","24","1","23","74","71","63","103","2","1",".270",".364",".479",".844",".361","207.6","13590"
"Luke Voit","Yankees","141","612","535","141","23","1","33","87","87","63","151","0","0",".263",".350",".498",".848",".361","60.2","14811"
"Eloy Jimenez","White Sox","151","647","592","167","33","2","35","88","102","46","150","1","0",".282",".337",".523",".859",".361","33.8","17484"
"Rhys Hoskins","Phillies","141","640","533","128","27","2","32","90","91","91","149","3","1",".241",".360",".482",".842",".361","161.8","16472"
"Corey Seager","Dodgers","149","685","615","174","40","2","30","97","100","61","124","2","1",".283",".350",".499",".849",".361","37.1","13624"
"Josh Donaldson","Twins","136","585","489","121","25","2","27","84","75","86","136","3","1",".248",".365",".469",".834",".360","190.1","5038"
"Paul Goldschmidt","Cardinals","151","676","574","155","27","2","28","93","85","89","148","5","2",".269",".371",".468",".839",".360","93.9","9218"
"Manny Machado","Padres","156","707","628","171","31","2","38","97","110","69","118","10","3",".273",".346",".511",".857",".359","20.8","11493"
"Max Muncy","Dodgers","134","618","517","125","24","2","31","92","88","90","154","3","1",".243",".361",".476",".837",".359","93.7","13301"
"Pete Alonso","Mets","146","660","573","143","27","1","40","92","104","67","169","2","1",".250",".342",".511",".853",".358","57.6","19251"
"Michael Conforto","Mets","151","682","585","152","31","2","31","95","92","81","159","6","2",".260",".359",".477",".836",".358","73.0","16376"
"C.J. Cron","","110","492","442","120","24","2","26","66","75","35","110","1","0",".271",".337",".509",".846",".357","410.9","12546"
"Kris Bryant","Cubs","146","662","564","146","30","3","27","89","85","75","155","3","1",".259",".361",".468",".829",".357","129.1","15429"
"Kyle Schwarber","Nationals","126","576","495","121","22","2","34","82","91","71","154","4","1",".244",".343",".504",".848",".357","192.6","16478"
"Gleyber Torres","Yankees","149","648","573","157","29","2","30","90","88","62","135","6","2",".274",".348",".489",".837",".355","70.3","16997"
"Nicholas Castellanos","Reds","146","658","597","163","39","4","31","92","94","50","158","3","1",".273",".334",".506",".840",".355","82.1","11737"
"Nolan Arenado","Cardinals","152","683","605","164","31","2","36","90","101","67","96","2","1",".270",".343",".505",".848",".354","34.8","9777"
"Rafael Devers","Red Sox","152","653","595","164","38","2","31","91","91","50","137","6","3",".276",".335",".505",".841",".354","42.6","17350"
"Randy Arozarena","Rays","144","620","548","147","29","3","28","89","83","52","147","19","6",".269",".346",".485",".832",".354","58.3","19290"
"Nelson Cruz","Twins","133","571","511","133","25","1","34","78","89","47","145","1","0",".261",".332",".513",".845",".354","95.1","2434"
"Shohei Ohtani","Angels","115","499","440","117","24","3","22","75","65","51","133","14","4",".266",".344",".484",".829",".352","226.2","19755"
"Jose Abreu","White Sox","154","661","599","166","31","2","32","87","98","43","138","2","1",".278",".336",".497",".834",".352","37.9","15676"
"Josh Bell","Nationals","136","620","541","143","27","3","29","83","89","70","130","2","1",".264",".350",".483",".833",".352","154.1","13145"
"Trea Turner","Nationals","152","694","627","180","34","6","23","105","82","57","127","36","8",".287",".349",".472",".821",".351","7.3","16252"
"Joey Gallo","Rangers","149","631","531","116","24","2","40","88","97","88","221","6","2",".218",".336",".496",".832",".351","159.7","14128"
"Jose Altuve","Astros","154","667","598","171","31","3","23","94","85","56","108","14","5",".287",".353",".463",".816",".351","99.3","5417"
"Jorge Soler","Royals","143","605","525","129","25","1","32","79","91","67","171","2","1",".246",".339",".482",".821",".350","141.7","14221"
"DJ LeMahieu","Yankees","151","655","591","176","27","3","20","89","76","54","93","5","2",".297",".358",".453",".810",".350","26.8","9874"
"Ketel Marte","Diamondbacks","147","663","600","173","34","6","20","91","83","52","88","8","3",".289",".349",".469",".817",".350","79.5","13613"
"Mike Moustakas","Reds","146","658","588","150","29","1","38","89","100","58","121","3","1",".255",".326",".503",".830",".349","117.3","4892"
"Brandon Nimmo","Mets","117","528","441","111","22","3","16","73","56","73","123","6","2",".250",".368",".425",".793",".348","253.8","12927"
"J.T. Realmuto","Phillies","149","629","565","153","28","3","28","87","87","48","137","9","3",".270",".335",".482",".816",".347","34.1","11739"
"Max Kepler","Twins","146","627","547","137","31","3","28","86","81","68","107","5","2",".250",".338",".473",".812",".347","183.0","12144"
"Brandon Lowe","Rays","133","571","501","125","27","3","27","77","80","58","158","6","2",".250",".334",".479",".813",".347","72.3","18882"
"Joey Votto","Reds","154","695","586","152","31","2","21","91","79","97","133","3","1",".259",".367",".428",".795",".347","378.3","4314"
"Andrew McCutchen","Phillies","138","625","539","138","26","2","25","85","79","75","130","8","3",".256",".351",".450",".802",".346","194.5","9847"
"Tommy Pham","Padres","130","589","509","135","24","3","19","83","69","69","127","17","4",".266",".360",".440",".799",".346","133.1","2967"
"Yasmani Grandal","White Sox","138","549","460","107","19","1","26","73","74","81","138","2","1",".233",".350",".450",".800",".346","124.5","11368"
"Ozzie Albies","Braves","151","687","626","176","37","6","25","98","90","49","122","17","4",".281",".337",".478",".815",".346","33.3","16556"
"Matt Olson","Athletics","146","619","534","126","26","1","35","80","91","72","167","2","1",".236",".334",".483",".817",".346","87.8","14344"
"Daniel Vogelbach","Brewers","53","242","203","48","9","0","11","31","33","35","56","0","0",".238",".353",".448",".800",".346","591.5","14130"
"Bo Bichette","Blue Jays","149","645","589","166","40","3","22","92","79","46","134","20","6",".283",".337",".473",".810",".345","24.8","19612"
"Matt Chapman","Athletics","151","640","562","135","31","3","34","84","90","65","165","1","0",".241",".325",".490",".815",".345","113.2","16505"
"Eddie Rosario","Indians","128","546","505","140","26","2","27","70","83","33","83","5","2",".278",".321",".500",".821",".344","110.1","12155"
"Wander Franco","","96","411","371","108","22","3","11","52","51","34","33","7","3",".290",".351",".455",".806",".344","999.0","sa3007033"
"Greg Bird","","19","87","75","18","5","0","4","11","12","10","21","0","0",".244",".338",".467",".805",".344","597.1","14131"
"A.J. Pollock","Dodgers","130","596","539","141","28","2","30","87","87","43","130","11","3",".262",".323",".491",".814",".343","191.7","9256"
"Will Smith","Dodgers","99","415","361","88","19","1","21","58","60","43","99","2","1",".244",".333",".473",".806",".343","93.8","19197"
"Aaron Hicks","Yankees","141","612","519","126","24","2","24","85","71","85","127","6","2",".242",".350",".439",".790",".342","278.9","5297"
